Date,Price,Open,High,Low,Change %
1/1/17,998.99,966.58,1006.5,961.26,3.35
1/2/17,1019.3,999.24,1034.8,997.3,2.03
1/3/17,1037.5,1019.3,1038.7,1013.5,1.79
1/4/17,1139.6,1037.5,1150,1036.4,9.84
1/5/17,1003.2,1139.8,1166,865.38,-11.97
1/6/17,898,1003.8,1025,871,-10.49
1/7/17,908.84,898.5,911,816.1,1.21
1/8/17,915.9,908.84,942.5,890,0.78
1/9/17,903,915.9,916.1,876.3,-1.41
1/10/17,905.76,903,917.88,895.5,0.31
1/11/17,778.58,905.76,922.63,760,-14.04
1/12/17,804.58,779.54,831.16,738.66,3.34
1/13/17,828.12,804.58,832.29,776,2.93
1/14/17,815.3,828.12,838.54,800.71,-1.55
1/15/17,820.74,815.3,822.98,805.13,0.67
1/16/17,830.1,820.74,837.89,814.79,1.14
1/17/17,903.99,830.1,910.77,828,8.9
1/18/17,887.76,903.99,913.85,847.3,-1.8
1/19/17,900.29,887.6,908.2,884.57,1.41
1/20/17,895.96,900.29,904.5,883.34,-0.48
1/21/17,924.02,895.74,931.01,893.89,3.13
1/22/17,923.72,924.02,939.73,892,-0.03
1/23/17,910.03,923.72,928.82,910.03,-1.48
1/24/17,886.1,908.41,927,884.2,-2.63
1/25/17,893.35,886.1,899.61,884.2,0.82
1/26/17,915.12,893.35,917.64,893.35,2.44
1/27/17,916.7,915.12,922.16,905.05,0.17
1/28/17,919.43,916.7,923.98,915.01,0.3
1/29/17,912.56,919.43,922.99,910.72,-0.75
1/30/17,917.36,912.55,920.79,910.01,0.53
1/31/17,966.19,917.36,969.38,916.75,5.32
2/1/17,983.73,966.19,984.99,960.1,1.82
2/2/17,1005.7,983.73,1010.5,970.11,2.23
2/3/17,1015.7,1007,1020.5,988.34,0.99
2/4/17,1031.1,1016.8,1040,1001.6,1.52
2/5/17,1006.6,1031.1,1033,996.35,-2.38
2/6/17,1022.6,1006.6,1026.2,1006,1.59
2/7/17,1052.1,1022.6,1056.3,1021.7,2.88
2/8/17,1048.8,1052.5,1068,1013.2,-0.31
2/9/17,984.97,1049,1078,936.41,-6.09
2/10/17,992,984.97,1002,949.39,0.71
2/11/17,1000.3,992.1,1009,984.19,0.84
2/12/17,996.01,1000.1,1005.4,992.33,-0.43
2/13/17,996.5,996,1004.5,975.9,0.05
2/14/17,1013.7,996.52,1019,988.88,1.73
2/15/17,1013.8,1013.3,1017.3,1002.4,0.01
2/16/17,1038.4,1013.9,1045.7,1013.9,2.43
2/17/17,1056.2,1038.5,1065.8,1034.1,1.71
2/18/17,1059.8,1056.2,1071.1,1053.1,0.34
2/19/17,1056.2,1059.8,1066,1045,-0.34
2/20/17,1091.2,1056.2,1100.3,1044.1,3.31
2/21/17,1129.6,1091.3,1134,1085,3.52
2/22/17,1125.3,1129.6,1140,1106.4,-0.38
2/23/17,1190.9,1125.5,1196.9,1120.4,5.83
2/24/17,1185.1,1189.9,1222.2,1111.1,-0.49
2/25/17,1153,1185.4,1189.9,1131.5,-2.71
2/26/17,1178.3,1153,1185.9,1130.9,2.19
2/27/17,1195.5,1178.3,1202.6,1171,1.46
2/28/17,1189.1,1196,1216,1177.8,-0.54
3/1/17,1232.8,1189.1,1233.5,1186,3.68
3/2/17,1262.3,1232.9,1283.1,1213,2.39
3/3/17,1288.2,1257.6,1294.7,1256.6,2.05
3/4/17,1267.8,1289.1,1291.8,1240.1,-1.58
3/5/17,1278.4,1267.8,1279.8,1245.3,0.84
3/6/17,1279.3,1278.4,1287.8,1268.6,0.07
3/7/17,1232.4,1279.2,1281.8,1185.9,-3.67
3/8/17,1149.3,1232.4,1243.6,1142.2,-6.74
3/9/17,1190.4,1150,1207.5,1136,3.58
3/10/17,1113.6,1190.4,1328.8,971,-6.45
3/11/17,1172.8,1113.5,1196.1,1107,5.32
3/12/17,1225.2,1172.4,1232.6,1167.5,4.47
3/13/17,1238.5,1224.4,1246.9,1207.5,1.09
3/14/17,1245,1238.5,1257.9,1218.9,0.52
3/15/17,1256.1,1245,1262,1241.3,0.89
3/16/17,1169,1256.1,1259.7,1132.5,-6.93
3/17/17,1068.4,1169.1,1169.6,1066,-8.61
3/18/17,971,1067.8,1097.1,935.11,-9.12
3/19/17,1016.1,971.9,1058.9,971,4.64
3/20/17,1039,1016.5,1052.1,1011.2,2.25
3/21/17,1115,1040.4,1120.9,1040.1,7.31
3/22/17,1039.1,1115.9,1116,986.3,-6.81
3/23/17,1033,1039.4,1055,1018,-0.59
3/24/17,943.1,1032.7,1034.2,928.3,-8.7
3/25/17,972.17,942.13,980,891,3.08
3/26/17,969,971.31,1005.5,950.1,-0.33
3/27/17,1042.7,968.9,1046.9,960.1,7.61
3/28/17,1044.7,1042.8,1066.5,1016.8,0.19
3/29/17,1041.8,1044.7,1058.9,1009.3,-0.28
3/30/17,1041,1041.7,1053.5,1022.2,-0.08
3/31/17,1081.7,1042.1,1089.4,1041,3.91
4/1/17,1093.2,1081.3,1106.9,1070.2,1.06
4/2/17,1107.6,1093.5,1118.2,1081,1.32
4/3/17,1150.2,1107.8,1159.9,1107.8,3.85
4/4/17,1145,1150.1,1161.9,1124.1,-0.45
4/5/17,1140.6,1145.8,1146.7,1112.3,-0.38
4/6/17,1191.5,1140.3,1206.4,1140.3,4.46
4/7/17,1196.6,1191.5,1208.9,1176.7,0.43
4/8/17,1188.1,1196.6,1202.6,1171.3,-0.71
4/9/17,1215.9,1188.1,1226.9,1180.2,2.34
4/10/17,1220.3,1215.9,1229.9,1208.1,0.36
4/11/17,1235.6,1220.3,1243.4,1209.1,1.25
4/12/17,1227.4,1236.9,1239,1221,-0.66
4/13/17,1187,1227.4,1235.1,1163.5,-3.29
4/14/17,1206.8,1187,1219.1,1184,1.67
4/15/17,1193.3,1206.8,1215,1190,-1.12
4/16/17,1212,1193.3,1217.6,1190.4,1.57
4/17/17,1240,1212.5,1247,1202.2,2.31
4/18/17,1265.4,1240,1274.8,1237,2.05
4/19/17,1260.5,1265.4,1272,1255,-0.39
4/20/17,1308.4,1260.5,1325.7,1260.1,3.8
4/21/17,1325.6,1308.7,1333.1,1307.5,1.31
4/22/17,1347.5,1327.1,1353.1,1290.1,1.65
4/23/17,1355.2,1346.4,1359,1336,0.57
4/24/17,1345,1355.3,1359.6,1326.9,-0.75
4/25/17,1370.3,1345,1378.5,1342.1,1.88
4/26/17,1399.3,1371,1411.7,1365.1,2.12
4/27/17,1440.3,1399.3,1449.7,1392.5,2.93
4/28/17,1415.6,1440.3,1447,1368.3,-1.71
4/29/17,1423.6,1415.6,1436.6,1401.5,0.57
4/30/17,1435.2,1425.4,1443.5,1403.3,0.81
5/1/17,1533.1,1435,1560,1432,6.82
5/2/17,1560,1533,1604.6,1479.2,1.75
5/3/17,1617.8,1558.5,1626.9,1542,3.71
5/4/17,1607.1,1619.4,1701.9,1521.1,-0.66
5/5/17,1545.1,1607.2,1665.5,1511.7,-3.86
5/6/17,1597.1,1545.1,1605,1545,3.37
5/7/17,1619.9,1597,1631.3,1575.1,1.43
5/8/17,1703.2,1619.8,1715,1618.9,5.14
5/9/17,1760,1703.5,1813.9,1695.1,3.33
5/10/17,1796.8,1759.8,1817.4,1722.3,2.09
5/11/17,1853.9,1796.9,1908,1766.6,3.18
5/12/17,1735,1853.9,1864.8,1700.8,-6.41
5/13/17,1820.4,1735,1824,1666,4.92
5/14/17,1828.1,1820.6,1852.4,1780,0.42
5/15/17,1772.5,1826.8,1828.5,1720,-3.04
5/16/17,1785.7,1772,1795.1,1728,0.74
5/17/17,1870,1786.2,1892.9,1766.4,4.72
5/18/17,1941.5,1870,1949.9,1861,3.82
5/19/17,1966.5,1941.5,2000,1925,1.29
5/20/17,2059.7,1966.5,2072.2,1963.6,4.74
5/21/17,2029.2,2059.3,2099.1,2001,-1.48
5/22/17,2085.5,2026.5,2219.9,1979.2,2.77
5/23/17,2249.3,2087.5,2262.9,2060,7.85
5/24/17,2394.8,2250,2443.8,2247.7,6.47
5/25/17,2252,2392.6,2689,2142.1,-5.96
5/26/17,2127.3,2268.1,2477,2008.7,-5.54
5/27/17,1972.3,2125.9,2207.9,1810,-7.29
5/28/17,2056.6,1980,2193,1955.5,4.27
5/29/17,2207.4,2056.9,2249.8,1990.1,7.33
5/30/17,2146.7,2207.4,2263.1,2080.4,-2.75
5/31/17,2191.83,2147.29,2240.1,2002.1,2.1
6/1/17,2311.6,2191.83,2366.7,2187.4,5.46
6/2/17,2405.88,2312,2407.8,2271.9,4.08
6/3/17,2461,2405.9,2481,2348,2.29
6/4/17,2488.2,2461.6,2498,2376.4,1.11
6/5/17,2636.2,2488.2,2637.5,2480,5.95
6/6/17,2843.6,2636.9,2896.5,2620,7.87
6/7/17,2642.63,2844.6,2850,2600.2,-7.07
6/8/17,2782.1,2642,2789.3,2570.1,5.28
6/9/17,2809,2781.5,2849.8,2769.6,0.97
6/10/17,2806,2809.9,2890.5,2750.8,-0.11
6/11/17,2936.3,2806,3000,2793.8,4.64
6/12/17,2571.8,2941.8,2961.9,2298.23,-12.41
6/13/17,2676.4,2570,2730,2532.6,4.07
6/14/17,2395.04,2677.1,2720,2284.4,-10.51
6/15/17,2377.4,2394.3,2455,2050,-0.74
6/16/17,2437,2377.5,2480,2261.2,2.51
6/17/17,2610,2435.5,2636.9,2368.7,7.1
6/18/17,2491.5,2610.1,2635,2421,-4.54
6/19/17,2580.8,2494.9,2592.7,2481.4,3.58
6/20/17,2712.2,2585,2779.6,2568.2,5.09
6/21/17,2621.2,2715.3,2760,2573.3,-3.36
6/22/17,2672.8,2624.4,2709,2554.8,1.97
6/23/17,2674.9,2672.8,2725.3,2652.8,0.08
6/24/17,2502.6,2674.9,2700,2454.1,-6.44
6/25/17,2477.7,2502.6,2595,2369.1,-0.99
6/26/17,2394.6,2480,2510.4,2258.7,-3.35
6/27/17,2521.2,2393.5,2524,2208.1,5.29
6/28/17,2518.2,2521.3,2561.1,2403.2,-0.12
6/29/17,2470.1,2518.2,2537,2424.1,-1.91
6/30/17,2420.7,2472.4,2511.1,2406.6,-2
7/1/17,2349.5,2420.6,2440.9,2291,-2.94
7/2/17,2445,2346.2,2470,2302,4.06
7/3/17,2524,2445.1,2584,2416.2,3.23
7/4/17,2582.6,2525.9,2628,2512.4,2.32
7/5/17,2598.5,2579.9,2617.6,2482.5,0.62
7/6/17,2593.1,2598.6,2603.3,2546,-0.21
7/7/17,2479.3,2593.2,2598,2447,-4.39
7/8/17,2542,2479.3,2542.6,2436.8,2.53
7/9/17,2478,2542,2555.6,2473.7,-2.52
7/10/17,2318.3,2477.9,2498.1,2240,-6.44
7/11/17,2282.1,2318.3,2372.8,2183.3,-1.56
7/12/17,2374.4,2285.6,2394,2195.8,4.04
7/13/17,2329,2375.6,2400,2293.8,-1.91
7/14/17,2205.1,2329.4,2345.6,2138,-5.32
7/15/17,1978.6,2206.5,2210.1,1975.7,-10.27
7/16/17,1924.9,1979.7,2048.8,1835.8,-2.71
7/17/17,2219,1925,2223.3,1924.1,15.28
7/18/17,2302.1,2220,2380.2,2139.8,3.74
7/19/17,2253.1,2302.2,2399.9,2214.2,-2.13
7/20/17,2856.3,2253.3,2919.9,2253.3,26.77
7/21/17,2664,2874.5,2874.5,2615,-6.73
7/22/17,2845.7,2659,2912.9,2642.8,6.82
7/23/17,2747.5,2845.7,2875.7,2656.2,-3.45
7/24/17,2769.7,2750.1,2812,2707.3,0.81
7/25/17,2560.9,2769.7,2790.1,2435.7,-7.54
7/26/17,2525.7,2560.9,2612,2404.6,-1.37
7/27/17,2664.9,2527.74,2682.2,2511,5.51
7/28/17,2784.8,2664.6,2819.9,2655.5,4.5
7/29/17,2714.1,2784.8,2794.2,2662.6,-2.54
7/30/17,2749,2713.7,2756.2,2595,1.29
7/31/17,2856,2748.9,2883.5,2694.8,3.89
8/1/17,2731.2,2854.3,2901.6,2615.8,-4.37
8/2/17,2702,2733.8,2757.8,2640,-1.07
8/3/17,2790.3,2702,2813,2698,3.27
8/4/17,2860,2790.3,2874.8,2762.6,2.5
8/5/17,3256.4,2860,3331.9,2855,13.86
8/6/17,3227.9,3255,3309.8,3156,-0.88
8/7/17,3396.7,3232.5,3440,3190,5.23
8/8/17,3415,3395,3482.9,3343.8,0.54
8/9/17,3339.9,3415,3424.4,3236.8,-2.2
8/10/17,3407.9,3340.2,3444.4,3310,2.04
8/11/17,3644.1,3404.7,3690.6,3380,6.93
8/12/17,3865.5,3643.4,3965.4,3590,6.08
8/13/17,4053.3,3866.2,4183.7,3836.1,4.86
8/14/17,4319.5,4061.6,4330.3,3969.3,6.57
8/15/17,4151.9,4321,4430,3841.9,-3.88
8/16/17,4386.3,4160,4403.6,3928.1,5.65
8/17/17,4260,4386.4,4489.1,4178.1,-2.88
8/18/17,4090.2,4269.7,4359,3957,-3.99
8/19/17,4145.1,4088.2,4184.1,3920,1.34
8/20/17,4064.3,4145,4192,4040.9,-1.95
8/21/17,4002.5,4066.3,4093.5,3956.4,-1.52
8/22/17,4074,3998.9,4140,3600,1.79
8/23/17,4129.1,4086.9,4248.6,4055.9,1.35
8/24/17,4325.2,4135,4370.8,4093,4.75
8/25/17,4351.5,4324.1,4461.2,4277.4,0.61
8/26/17,4341.7,4351.5,4364,4243.6,-0.23
8/27/17,4331.8,4340.2,4405.7,4305,-0.23
8/28/17,4383.8,4330.7,4395.2,4175.7,1.2
8/29/17,4587.1,4385.1,4644.2,4336.7,4.64
8/30/17,4569,4586.6,4641.1,4481.1,-0.39
8/31/17,4718.2,4567.9,4749.9,4567.9,3.27
9/1/17,4904.9,4718.3,4927.4,4660.7,3.96
9/2/17,4534.4,4911.8,4969,4400.5,-7.55
9/3/17,4595,4534.2,4699.8,4331,1.34
9/4/17,4200.4,4599.2,4606,4056.5,-8.59
9/5/17,4374.9,4210.6,4469.9,3900.1,4.15
9/6/17,4589.1,4375,4631.4,4361.4,4.9
9/7/17,4613.5,4594.6,4672.8,4465.3,0.53
9/8/17,4305.8,4613.5,4686.2,4107.1,-6.67
9/9/17,4317.9,4304,4381.2,4159.4,0.28
9/10/17,4232.1,4315.4,4325,3975.8,-1.99
9/11/17,4203,4234.9,4373.1,4123,-0.69
9/12/17,4142.9,4198.9,4378.4,4055.5,-1.43
9/13/17,3849.7,4149.4,4159.6,3734,-7.08
9/14/17,3238.1,3850.2,3917.2,3206.2,-15.89
9/15/17,3698,3237.4,3809,2981,14.2
9/16/17,3685.4,3697.1,3874,3511.1,-0.34
9/17/17,3666.3,3680.1,3775.9,3476.3,-0.52
9/18/17,4084.1,3667,4113.9,3667,11.4
9/19/17,3900,4084.4,4110,3836.2,-4.51
9/20/17,3873.2,3892.2,4048,3834.1,-0.69
9/21/17,3603.4,3875.5,3903.7,3564.4,-6.97
9/22/17,3598.5,3597.3,3743.6,3493.5,-0.14
9/23/17,3779.6,3598.7,3808,3559.1,5.03
9/24/17,3652.8,3779.6,3781.3,3620,-3.35
9/25/17,3930,3654.7,3977,3654.7,7.59
9/26/17,3879.1,3930,3983,3850.9,-1.3
9/27/17,4205.4,3881.6,4226.5,3878.1,8.41
9/28/17,4190,4207.5,4268.6,4125,-0.37
9/29/17,4169.9,4190,4244.6,4024.7,-0.48
9/30/17,4367,4168.1,4393.4,4160.1,4.73
10/1/17,4404.3,4366.6,4420.5,4257.7,0.85
10/2/17,4400.1,4404.3,4482,4359.8,-0.1
10/3/17,4311.1,4399.3,4439.9,4222,-2.02
10/4/17,4215.1,4310.6,4353.8,4177.7,-2.23
10/5/17,4315.4,4215.9,4364.6,4134.9,2.38
10/6/17,4371,4312.6,4424.5,4294,1.29
10/7/17,4436,4370,4477.1,4316.1,1.49
10/8/17,4613.1,4435.9,4630,4417.6,3.99
10/9/17,4782.3,4612.4,4874.9,4551.3,3.67
10/10/17,4777,4782.3,4940,4717.5,-0.11
10/11/17,4824.9,4777.7,4879.5,4715,1
10/12/17,5428.5,4824.9,5437.6,4815.1,12.51
10/13/17,5636.8,5440,5874.3,5376,3.84
10/14/17,5835,5636.8,5854.3,5567.3,3.52
10/15/17,5698.6,5838.7,5876.9,5450,-2.34
10/16/17,5764.4,5712.2,5803.2,5570.4,1.15
10/17/17,5597.1,5764.8,5779,5511,-2.9
10/18/17,5565,5597.7,5597.9,5114.3,-0.57
10/19/17,5694,5574.8,5741,5505.8,2.32
10/20/17,5984.5,5694,6082.2,5606.4,5.1
10/21/17,6005.1,5984.9,6190,5873.6,0.34
10/22/17,5980.5,6005.1,6069.6,5717.9,-0.41
10/23/17,5906.9,5980.5,6051,5639.8,-1.23
10/24/17,5509.5,5902.5,5902.5,5457.5,-6.73
10/25/17,5720,5509.9,5743.9,5367.9,3.82
10/26/17,5890,5724.2,5966.6,5680.5,2.97
10/27/17,5759.6,5890,6010.2,5681.2,-2.21
10/28/17,5720.6,5759.8,5863.9,5634.7,-0.68
10/29/17,6156,5718.1,6330,5662.9,7.61
10/30/17,6125.3,6146,6237.2,6010,-0.5
10/31/17,6458.3,6129.9,6472.1,6082.7,5.44
11/1/17,6727.3,6450.2,6727.3,6348,4.17
11/2/17,7019.9,6735,7315.1,6724.5,4.35
11/3/17,7278.4,7018.9,7447.5,6926.5,3.68
11/4/17,7369,7104,7521.1,6936.5,1.24
11/5/17,7382,7370.9,7595,7272,0.18
11/6/17,6955,7355.1,7429.5,6915.1,-5.78
11/7/17,7103.3,6959.6,7214.4,6959,2.13
11/8/17,7442.4,7102,7895,7029.9,4.77
11/9/17,7126.2,7447,7447,7017.6,-4.25
11/10/17,6542.2,7123.3,7313.1,6405.2,-8.2
11/11/17,6300.7,6541.2,6788,6166,-3.69
11/12/17,5822.1,6282.4,6465,5426,-7.6
11/13/17,6474.6,5806.5,6680,5786.1,11.21
11/14/17,6579.2,6476.5,6687.8,6315.4,1.62
11/15/17,7278.3,6589.9,7310.2,6589.9,10.63
11/16/17,7864.2,7273.7,8012.9,7099.9,8.05
11/17/17,7677.9,7865,8029.8,7511.1,-2.37
11/18/17,7773.3,7674.1,7867,7419.5,1.24
11/19/17,8054.2,7770.6,8126.9,7652,3.61
11/20/17,8245.1,8052.8,8310.2,7943.4,2.37
11/21/17,8097.3,8245.1,8380,7790,-1.79
11/22/17,8230.1,8097.3,8310,8064.3,1.64
11/23/17,7977.1,8230,8267.6,7977.1,-3.07
11/24/17,8191.6,7977,8350.7,7873,2.69
11/25/17,8766.2,8191.6,8770,8132.9,7.01
11/26/17,9316,8791,9495,8769.2,6.27
11/27/17,9728.8,9303.9,9760.7,9268.9,4.43
11/28/17,9898,9727.1,9977.77,9608.3,1.74
11/29/17,9749.4,9891.9,11427.17,9001.1,-1.5
11/30/17,9907,9771.9,10540,8821,1.62
12/1/17,10869,9907,10949,9370.1,9.71
12/2/17,10881,10852,11187,10627,0.11
12/3/17,11157,10880,11842,10299,2.54
12/4/17,11595,11162,11598,10788,3.93
12/5/17,11595,11611,11949,11414,0
12/6/17,13527,11590,13598,11590,16.66
12/7/17,16601,13500,16639,13154,22.72
12/8/17,15869,16608,17160,13774,-4.41
12/9/17,14660,15829,16300,13021,-7.62
12/10/17,14997,14660,15728,12748,2.3
12/11/17,16754,14937,17443,14937,11.72
12/12/17,16967,16754,17500,16234,1.27
12/13/17,16181,17010,17288,15674,-4.63
12/14/17,16383,16122,16999,15870,1.25
12/15/17,17522,16396,18098,16352,6.95
12/16/17,19187,17569.55,19548,17098,9.5
12/17/17,18971,19210,19891,18622,-1.13
12/18/17,18934,18959,19171,18010,-0.2
12/19/17,17345,18931,18987,16500,-8.39
12/20/17,16425,17340,17709,15500,-5.3
12/21/17,15666.83,16433,17333,14827,-4.62
12/22/17,13170,15650,15826,10718,-15.94
12/23/17,14035,13173,14986,12755,6.57
12/24/17,13476,14036,14047,11601.18,-3.98
12/25/17,13623,13517,14278,12678,1.09
12/26/17,15679,13627,16048,13550,15.09
12/27/17,15374,15680,16494,14463,-1.95
12/28/17,14315,15374,15467,13232,-6.89
